Time [sec], Input Angle [rad], Input Speed [rpm], Input Voltage [V], Output Torque [Nm], Brake Torque [Nm], Efficiency [%], 
1.63346, 0, 0, 1.63346, 0.133669, 1, 0, 
1.64343, 0, 0, 1.64343, 0.128786, 1, 0, 
1.6534, 0, 0, 1.6534, 0.131228, 1, 0, 
1.66338, 0, 0, 1.66338, 0.130007, 1, 0, 
1.67335, 0, 0, 1.67335, 0.13489, 1, 0, 
1.68332, 0, 0, 1.68332, 0.13489, 1, 0, 
1.69329, 0, 0, 1.69329, 0.13489, 1, 0, 
1.70327, 0, 0, 1.70327, 0.132448, 1, 0, 
1.71324, 0, 0, 1.71324, 0.130007, 1, 0, 
1.72321, 0, 0, 1.72321, 0.132448, 1, 0, 
1.73318, 0, 0, 1.73318, 0.128786, 1, 0, 
1.74315, 0, 0, 1.74315, 0.13611, 1, 0, 
1.75313, 0, 0, 1.75313, 0.13611, 1, 0, 
1.7631, 0, 0, 1.7631, 0.13611, 1, 0, 
1.77307, 0, 0, 1.77307, 0.137331, 1, 0, 
1.78304, 0, 0, 1.78304, 0.138552, 1, 0, 
1.79302, 0, 0, 1.79302, 0.133669, 1, 0, 
1.80299, 0, 0, 1.80299, 0.13489, 1, 0, 
1.81296, 0, 0, 1.81296, 0.13489, 1, 0, 
1.82293, 0, 0, 1.82293, 0.13489, 1, 0, 
1.8329, 0, 0, 1.8329, 0.138552, 1, 0, 
1.84288, 0, 0, 1.84288, 0.139773, 1, 0, 
1.85285, 0, 0, 1.85285, 0.139773, 1, 0, 
1.86282, 0, 0, 1.86282, 0.138552, 1, 0, 
1.87279, 0, 0, 1.87279, 0.13489, 1, 0, 
1.88277, 0, 0, 1.88277, 0.139773, 1, 0, 
1.89274, 0, 0, 1.89274, 0.133669, 1, 0, 
1.90271, 0, 0, 1.90271, 0.138552, 1, 0, 
1.91268, 0, 0, 1.91268, 0.138552, 1, 0, 
1.92266, 0, 0, 1.92266, 0.138552, 1, 0, 
1.93263, 0, 0, 1.93263, 0.139773, 1, 0, 
1.9426, 0, 0, 1.9426, 0.142214, 1, 0, 
1.95257, 0, 0, 1.95257, 0.142214, 1, 0, 
1.96254, 0, 0, 1.96254, 0.142214, 1, 0, 
1.97252, 0, 0, 1.97252, 0.142214, 1, 0, 
1.98249, 0, 0, 1.98249, 0.142214, 1, 0, 
1.99246, 0, 0, 1.99246, 0.139773, 1, 0, 
2.00243, 0, 0, 2.00243, 0.142214, 1, 0, 
2.01241, 0, 0, 2.01241, 0.140993, 1, 0, 
2.02238, 0, 0, 2.02238, 0.139773, 1, 0, 
2.03235, 0, 0, 2.03235, 0.139773, 1, 0, 
2.04232, 0, 0, 2.04232, 0.143435, 1, 0, 
2.05229, 0, 0, 2.05229, 0.139773, 1, 0, 
2.06227, 0, 0, 2.06227, 0.142214, 1, 0, 
2.07224, 0, 0, 2.07224, 0.147097, 1, 0, 
2.08221, 0, 0, 2.08221, 0.144656, 1, 0, 
2.09218, 0, 0, 2.09218, 0.138552, 1, 0, 
2.10216, 0, 0, 2.10216, 0.139773, 1, 0, 
2.11213, 0, 0, 2.11213, 0.149538, 1, 0, 
2.1221, 0, 0, 2.1221, 0.143435, 1, 0, 
2.13207, 0, 0, 2.13207, 0.142214, 1, 0, 
2.14205, 0, 0, 2.14205, 0.143435, 1, 0, 
